2021-03-11 19:32:31, {'time': '19:32:30', 0: 83.746, 1: -1809.4, 2: 66.54}
2021-03-11 19:32:46, {'time': '19:32:46', 0: 83.746, 1: -1809.4, 2: 66.535}
2021-03-11 19:33:01, {'time': '19:33:01', 0: 83.746, 1: -1809.4, 2: 66.533}
2021-03-11 19:33:16, {'time': '19:33:16', 0: 83.736, 1: -1809.4, 2: 66.537}
2021-03-11 19:33:31, {'time': '19:33:31', 0: 83.732, 1: -1809.4, 2: 66.537}
2021-03-11 19:33:46, {'time': '19:33:46', 0: 83.721, 1: -1809.4, 2: 66.535}
2021-03-11 19:34:01, {'time': '19:34:01', 0: 83.719, 1: -1809.4, 2: 66.538}
2021-03-11 19:34:16, {'time': '19:34:16', 0: 83.716, 1: -1809.4, 2: 66.54}
2021-03-11 19:34:31, {'time': '19:34:28', 0: 83.727, 1: -1809.4, 2: 66.538}
2021-03-11 19:34:46, {'time': '19:34:43', 0: 83.732, 1: -1809.4, 2: 66.538}
2021-03-11 19:35:01, {'time': '19:34:58', 0: 83.727, 1: -1809.4, 2: 66.538}
2021-03-11 19:35:16, {'time': '19:35:13', 0: 83.734, 1: -1809.4, 2: 66.538}
2021-03-11 19:35:31, {'time': '19:35:28', 0: 83.763, 1: -1809.4, 2: 66.538}
2021-03-11 19:35:48, {'time': '19:35:46', 0: 83.827, 1: -1809.4, 2: 66.538}
2021-03-11 19:36:03, {'time': '19:36:01', 0: 83.836, 1: -1809.4, 2: 66.54}
2021-03-11 19:36:18, {'time': '19:36:16', 0: 83.856, 1: -1809.4, 2: 66.546}
2021-03-11 19:36:33, {'time': '19:36:31', 0: 83.86, 1: -1809.4, 2: 66.547}
2021-03-11 19:36:48, {'time': '19:36:46', 0: 83.872, 1: -1809.4, 2: 66.542}
2021-03-11 19:37:03, {'time': '19:37:01', 0: 83.871, 1: -1809.4, 2: 66.546}
2021-03-11 19:37:18, {'time': '19:37:16', 0: 83.871, 1: -1809.4, 2: 66.547}
2021-03-11 19:37:33, {'time': '19:37:31', 0: 83.862, 1: -1809.4, 2: 66.546}
2021-03-11 19:37:48, {'time': '19:37:46', 0: 83.874, 1: -1809.4, 2: 66.547}
2021-03-11 19:38:03, {'time': '19:38:01', 0: 83.867, 1: -1809.4, 2: 66.547}
2021-03-11 19:38:18, {'time': '19:38:17', 0: 83.88, 1: -1809.4, 2: 66.546}
2021-03-11 19:38:33, {'time': '19:38:32', 0: 83.889, 1: -1809.4, 2: 66.546}
2021-03-11 19:38:48, {'time': '19:38:47', 0: 83.89, 1: -1809.4, 2: 66.544}
2021-03-11 19:39:03, {'time': '19:39:02', 0: 83.887, 1: -1809.4, 2: 66.547}
